iter	Passed	Remaining
0	59	29684
1	61	15327
2	63	10536
3	65	8134
4	67	6705
5	70	5786
6	72	5113
7	74	4586
8	76	4177
9	78	3845
10	80	3571
11	82	3352
12	84	3160
13	86	2992
14	88	2869
15	90	2741
16	92	2633
17	94	2531
18	96	2454
19	98	2372
20	101	2310
21	103	2239
22	104	2173
23	106	2115
24	108	2061
25	110	2012
26	112	1965
27	114	1922
28	115	1880
29	117	1844
30	119	1808
31	121	1775
32	123	1744
33	125	1717
34	127	1689
35	129	1664
36	131	1639
37	133	1617
38	134	1594
39	136	1575
40	138	1554
41	140	1533
42	142	1514
43	144	1497
44	146	1481
45	148	1465
46	150	1448
47	152	1432
48	154	1419
49	156	1404
50	158	1391
51	160	1378
52	161	1365
53	163	1353
54	165	1341
55	167	1327
56	169	1316
57	171	1304
58	173	1293
59	175	1283
60	176	1273
61	178	1263
62	180	1253
63	182	1246
64	184	1236
65	186	1226
66	188	1216
67	190	1208
68	192	1200
69	193	1191
70	195	1183
71	197	1175
72	199	1166
73	201	1158
74	203	1150
75	204	1143
76	207	1137
77	209	1132
78	211	1126
79	213	1120
80	215	1114
81	217	1108
82	219	1101
83	221	1096
84	223	1089
85	225	1086
86	227	1080
87	229	1075
88	231	1069
89	233	1064
90	235	1058
91	237	1053
92	239	1047
93	241	1042
94	243	1037
95	245	1031
96	247	1027
97	249	1022
98	251	1017
99	253	1012
100	254	1007
101	256	1002
102	258	997
103	260	992
104	262	987
105	264	982
106	266	978
107	268	973
108	270	969
109	272	964
110	274	960
111	276	956
112	278	952
113	279	948
114	282	944
115	283	939
116	285	935
117	287	931
118	289	927
119	291	922
120	293	918
121	295	914
122	297	911
123	299	906
124	300	902
125	302	899
126	305	895
127	306	891
128	308	888
129	311	885
130	313	883
131	315	879
132	317	876
133	319	872
134	321	869
135	323	865
136	325	862
137	327	858
138	329	855
139	331	852
140	333	849
141	335	846
142	337	843
143	339	840
144	341	836
145	343	833
146	345	830
147	348	827
148	350	824
149	352	821
150	354	818
151	356	815
152	358	812
153	360	809
154	362	806
155	364	803
156	366	800
157	368	797
158	370	794
159	372	791
160	374	788
161	376	785
162	378	782
163	380	779
164	382	776
165	384	773
166	386	770
167	388	768
168	390	765
169	392	762
170	394	759
171	396	756
172	398	753
173	400	750
174	402	747
175	404	744
176	406	742
177	409	739
178	411	737
179	413	734
180	415	732
181	417	729
182	419	726
183	421	723
184	423	721
185	425	717
186	427	715
187	429	712
188	431	709
189	433	707
190	435	704
191	437	701
192	439	699
193	441	696
194	443	693
195	445	691
196	448	689
197	450	686
198	452	684
199	454	681
200	456	678
201	458	676
202	460	674
203	462	671
204	465	669
